	Name	Location	Cuisine	Meals	Price Level (out of 4)	Rating (out of 6)	Review Count	Page URL
214	Kahvila Marocco	Töölö 	Cake & Coffee	Breakfast, Lunch, Dessert, Cake & Coffee	0	5.4		/en/place/kahvila-marocco-95661/menu
215	Harbour Tap & Taste	Kalasatama 	Finnish	Lunch, Dinner, Sunday lunch	0	5.8		/en/place/harbour-tap-taste-108467/menu
216	Seksico® Tacos Kallio	Kallio 	Mexican	Lunch, Dinner	0	5.3		/en/place/seksico-tacos-kallio-105505/menu
217	Aito Fresh	City Centre 	Asian Fusion	Lunch, Dinner	0	4.7		/en/place/aito-fresh-104403/menu
218	Shin Ramen & BRGRS Sompasaari	Sompasaari 	Fusion	Lunch, Dinner	0	4.3		/en/place/shin-ramen-brgrs-sompasaari-107034/menu
219	Saigon Bistro	Kallio 	Vietnamese	Breakfast, Lunch, Dinner	0	5.9		/en/place/saigon-bistro-103882/menu
220	Chicken Joint Lönkka	Kamppi 	International	Lunch, Dinner	0	4.7		/en/place/chicken-joint-lonkka-97906/menu
221	Camp Mount	Jätkäsaari 	Nepalese	Dessert, Dinner	0			/en/place/camp-mount-108129/menu
222	Uyghur Noodle House Kamppi	Kamppi 	Asian	Lunch, Dinner	0	4.1		/en/place/uyghur-noodle-house-kamppi-109171/menu
223	Moko Market Punavuori / Kabinettivaraukset	Punavuori 	Eat & Drink	Breakfast, Brunch	0	5.2		/en/place/moko-market-punavuori-kabinettivaraukset-94113/menu
224	Ravintola Scandic Meilahti	Töölö 	European	Breakfast, Lunch, Dessert, Dinner	0	3.4		/en/place/ravintola-scandic-meilahti-63296/menu
225	GTC Café	Kamppi 	Eat & Drink	Lunch, Dessert, Dinner, Cake & Coffee	0	6.0		/en/place/gtc-cafe-100566/menu
226	Puotilan Kartano	Puotila 	International	Buffet, Lunch, Brunch, Sunday lunch	0	4.8		/en/place/puotilan-kartano-86946/menu
227	HOB Helsinki	Kalasatama 	Eat & Drink	Tapas	0			/en/place/hob-helsinki-99825/menu
228	Graniittiklubi	Hakaniemi 	Finnish	Dessert, Dinner	0	5.0		/en/place/graniittiklubi-109099/menu
229	Momentine Wine Bar	Kaartinkaupunki 	Eat & Drink	Dessert, Dinner	0	6.0		/en/place/momentine-wine-bar-109184/menu
230	Annapurna	Punavuori 	Nepalese	Lunch, Dinner, Sunday lunch	0	5.5		/en/place/annapurna-108526/menu
231	IPI Kulmakuppila	Kallio 	Cake & Coffee	Breakfast, Lunch, Cake & Coffee	0	5.6		/en/place/ipi-kulmakuppila-94286/menu
232	Amex Exclusive Lunch: Pastis	Kaartinkaupunki 	French		0	5.0		/en/place/amex-exclusive-lunch-pastis-104118/about
233	Chao Phraya Helsinki - Thai Restaurant	Hietalahti 	Thai	Lunch, Dinner	0	4.0		/en/place/chao-phraya-helsinki-thai-restaurant-104667/about
234	Restaurant Vazi	Sompasaari 	Georgian	Dinner	0	5.9		/en/place/restaurant-vazi-108597/menu
235	Hei Noodle	City Centre 	Asian	Lunch, Dinner	0	3.5		/en/place/hei-noodle-104141/menu
236	Mashiro Töölö	Töölö 	Sushi	Buffet, Dinner	0	5.0		/en/place/mashiro-toolo-87853/about
237	Bibimbap Töölö	Töölö 	Korean	Lunch, Dinner	0	5.0		/en/place/bibimbap-toolo-108488/menu
238	Tran Tinh	Hakaniemi 	Vegan Option	Lunch, Dinner	0			/en/place/tran-tinh-restaurant-104989/menu
239	Vietologie	Töölö 	Vietnamese	Lunch, Dinner	0			/en/place/vietologie-109409/menu
240	Mount Kailash	Jätkäsaari 	Nepalese	Lunch, Dinner, Sunday lunch	0	6.0		/en/place/mount-kailash-87130/menu
241	Omo Omo Café	Töölö 	Cake & Coffee	Breakfast, Lunch, Brunch	0			/en/place/omo-omo-cafe-104491/menu
242	Uyghur Noodle House Hakaniemi	Hakaniemi 	Asian	Lunch, Dinner	0			/en/place/uyghur-noodle-house-hakaniemi-109457/menu
243	Stadin Poseidon	Katajanokka 	Drinks	Dinner	0			/en/place/stadin-poseidon-100325/menu
244	Pastelaria Brasil	Pasila 	Brazilian	Lunch, Dessert, Dinner, Sunday lunch	0	5.8		/en/place/pastelaria-brasil-95861/menu
245	Kubo Phở	Hakaniemi 	Vietnamese	Lunch, Dinner	0			/en/place/kubo-pho-107937/menu
246	Caruzello By Dylan	Alppiharju 	International	Buffet, Lunch, Dinner	0	6.0		/en/place/caruzello-by-dylan-21556/menu
247	Ravintola Siddhartha	Töölö 	Nepalese	Lunch, Dinner	0	4.0		/en/place/ravintola-siddhartha-106073/menu
248	Noodle Story Ruoholahti	Ruoholahti 	Asian	Lunch, Dinner	0			/en/place/noodle-story-ruoholahti-108370/menu
249	BAMBU Asian Kitchen & Bar	Kallio 	Sushi	Lunch, Dinner	0	5.0		/en/place/bambu-asian-kitchen-bar-102659/menu
250	Ravintola T49	Töölö 	Asian	Buffet, Lunch	0			/en/place/toolo-49-108288/menu
251	Spasso Pizzeria	Alppiharju 	Pizza	Lunch, Dessert, Dinner	0			/en/place/spasso-pizzeria-23968/menu
252	Skiffer Postipuisto	Pasila 	Pizza	Lunch, Dessert, Dinner	0	5.5		/en/place/skiffer-postipuisto-101903/menu
253	Ravintola Bambu Sushi	Vallila 	Japanese	Dinner	0	5.3		/en/place/ravintola-bambu-sushi-90742/menu
254	Tian Tian Dumplings	Kallio 	Asian	Lunch, Dinner	0	3.7		/en/place/tian-tian-dumplings-108516/menu
255	Ravintola Sture 16	Vallila 	European	Lunch, Dessert, Dinner	0	5.0		/en/place/ravintola-sture-16-105300/menu
256	Kalaliike & Bistro S. Wallin	Pasila 	Fish	Lunch, Dinner	0	4.8		/en/place/kalaliike-bistro-s-wallin-95497/menu
257	Chill & Grill	Alppiharju 	Pizza	Lunch, Dessert, Dinner	0			/en/place/chill-grill-106856/menu
258	Chuan Chim Thai Kitchen	Vallila 	Thai	Lunch, Dinner	0	5.0		/en/place/chuan-chim-thai-kitchen-108536/menu
259	PURÉ Helsinki Ravintola	Sörnäinen 	West African	Breakfast, Lunch, Brunch, Dinner	0			/en/place/pure-helsinki-ravintola-109324/menu
260	Origin Ravintola	Sompasaari 	Asian	Lunch, Dinner	0	6.0		/en/place/origin-ravintola-107918/about
261	Supear Sushi Sandwich	Sörnäinen 	Sushi	Lunch, Dinner	0			/en/place/supear-sushi-sandwich-106606/menu
262	Presto Pizza Helsinki	Pasila 	Pizza	Lunch, Dinner	0	5.9		/en/place/presto-pizza-helsinki-100503/menu
263	Ravintola Persilja	Lauttasaari 	Mediterranean	Lunch, Dessert, Brunch, Dinner	0	5.0		/en/place/ravintola-persilja-105230/menu
264	Ravintola Bali	Vallila 	Indonesian	Lunch, Dinner	0	4.4		/en/place/ravintola-bali-107238/menu
265	Ravintola Veturitallit	Pasila 	European	Dessert, Dinner	0	4.3		/en/place/ravintola-veturitallit-106147/about
266	Boneless REDI	Kalasatama 	Burgers	Lunch, Dinner	0	4.8		/en/place/boneless-redi-103660/menu
267	Larenka Ravintola	Lauttasaari 	Eat & Drink	Lunch, Dinner	0			/en/place/larenka-ravintola-98223/about
268	Malai Indian Cuisine	Kalasatama 	Indian	Lunch, Dessert, Dinner	0	6.0		/en/place/malai-indian-cuisine-104994/menu
269	Villa Alia	Kulosaari 	Finnish	Lunch, Brunch, Sunday lunch	0	5.3		/en/place/villa-alia-102352/menu
270	Restaurant Royal Nepal Helsinki	Vallila 	Nepalese	Lunch, Dinner	0			/en/place/restaurant-royal-nepal-helsinki-103206/menu
271	Ristorante Momento REDI	Kalasatama 	European	Lunch, Dessert, Dinner	0	4.3		/en/place/ristorante-momento-redi-105724/menu
272	Ravintola Mäkelän Kulma	Vallila 	International	Lunch, Dinner	0			/en/place/ravintola-makelan-kulma-107995/menu
273	Ravintola Käpygrilli	Käpylä 	Eat & Drink	Lunch, Dessert, Dinner	0	6.0		/en/place/ravintola-kapygrilli-105540/menu
274	Hilton Kalastajatorppa Breakfast	Munkkiniemi 	European	Buffet, Brunch	0	4.6		/en/place/hilton-kalastajatorppa-ravintola-oceana-88963/about
275	Restaurant Maharaja Lauttasaari	Lauttasaari 	Indian	Lunch, Dessert	0			/en/place/restaurant-maharaja-lauttasaari-104127/menu
276	Old Durbar Käpylä	Käpylä 	Nepalese	Lunch, Dessert, Dinner	0	4.0		/en/place/old-durbar-kapyla-105535/menu
277	Ravintola Rara	Pikku Huopalahti 	Nepalese	Lunch, Dinner	0	5.7		/en/place/ravintola-rara-97770/menu
278	Ravintola Susav	Laajasalo 	Nepalese	Lunch, Dessert, Dinner	0	5.0		/en/place/ravintola-susav-104823/menu
279	Kruunu Pizzeria	Laajasalo 	Pizza	Lunch, Dessert, Dinner	0	5.0		/en/place/kruunu-pizzeria-100475/menu
280	Ambra Bar & Kitchen	Viikki 	International	Lunch, Dessert, Dinner	0	5.1		/en/place/ambra-bar-kitchen-100154/menu
281	Ravintola Herkku-Haarukka	Kallio 	Indian	Lunch, Dessert, Dinner	0	5.2		/en/place/ravintola-herkku-haarukka-105572/menu
282	Thai Restaurant Meelom - Käpylä	Käpylä 	Thai	Buffet, Lunch, Dinner	0	5.0		/en/place/thai-restaurant-meelom-kapyla-96608/menu
283	Malati	Pasila 	Nepalese	Lunch, Dinner	0	5.0		/en/place/malati-105142/menu
284	Iisi Bistro	Vallisaari 	Nordic	Lunch, Dinner	0			/en/place/iisi-bistro-102690/about
285	The Grill	Käpylä 	International	Lunch, Dinner	0	4.0		/en/place/the-grill-95107/menu
286	Satama Bar & Bistro Herttoniemi	Herttoniemi 	International	Lunch, Dessert, Dinner	0	4.5		/en/place/satama-bar-bistro-herttoniemi-108342/about
287	Seurahuone Pub Herttoniemi	Herttoniemi 	Drinks	Dinner	0	1.0		/en/place/seurahuone-pub-herttoniemi-100445/menu
288	Noodle Story Hertsi	Herttoniemi 	Asian	Lunch, Dinner	0	5.0		/en/place/noodle-story-hertsi-94136/menu
289	Akhanda Nepalilainen Ravintola	Pitäjänmäki 	Nepalese	Lunch, Dinner	0	5.0		/en/place/akhanda-nepalilainen-ravintola-103881/menu
290	Sushisama	Oulunkylä 	Sushi	Lunch, Dinner, Sunday lunch	0	5.4		/en/place/sushi-sama-92555/menu
291	El Torito Restaurant & Grill	Oulunkylä 	Eat & Drink	Lunch, Dinner	0	5.0		/en/place/el-torito-restaurant-grill-101594/menu
292	LoKal Food & Bar	Malmi 	International	Lunch, Dessert, Dinner	0	5.0		/en/place/lokal-food-bar-63934/menu
293	Ravintola Hansha	Pitäjänmäki 	Nepalese	Lunch, Dinner	0	6.0		/en/place/ravintola-hansha-109101/menu
294	Mashiro Pukinmäki	Pukinmäki 	Sushi	Lunch, Dinner	0	6.0		/en/place/mashiro-pukinmaki-102443/menu
295	Restaurant Puksu Room	Pukinmäki 	International	Buffet, Lunch, Dinner	0	6.0		/en/place/restaurant-puksu-room-102578/menu
296	Backyard	Itäkeskus 	American	Lunch, Dinner	0	4.9		/en/place/backyard-95488/menu
297	Mashiro Viikki	Viikki 	Japanese	Lunch, Dinner	0			/en/place/mashiro-viikki-107804/menu
298	Ravintola Thai Thai	Malmi 	Thai	Lunch, Dinner	0	5.3		/en/place/ravintola-thai-thai-94183/menu
299	Ravintola Fregatti	Vuosaari 	European	Lunch, Dinner	0	4.5		/en/place/ravintola-fregatti-70495/menu
300	Vapiano Itis	Itäkeskus 	Italian	Lunch, Dessert, Dinner	0	4.8		/en/place/vapiano-itis-105076/menu
301	Ravintola Nonla	Itäkeskus 	Vietnamese	Lunch, Dessert, Dinner	0	5.3		/en/place/ravintola-nonla-101934/about
302	Ristorante Momento Itis	Itäkeskus 	European	Lunch, Dinner	0	3.3		/en/place/ristorante-momento-itis-105845/menu
303	Ravintola Sitara	Malmi 	Fusion	Lunch	0			/en/place/ravintola-sitara-107239/menu
304	"Bhatti ""Essence of Nepal"""	Malmi 	Nepalese	Lunch, Dinner	0			/en/place/bhatti-essence-of-nepal-106608/menu
305	Cafe Monami	Rastila 	Mediterranean	Lunch, Dessert, Dinner, Cake & Coffee	0	5.4		/en/place/cafe-monami-109350/menu
306	Ravintola Rubiini	Siltamäki 	Eat & Drink	Lunch	0			/en/place/ravintola-rubiini-108418/about
307	Ragazza Pasta Bar	Vuosaari 	Pasta	Lunch, Brunch, Dinner	0	5.2		/en/place/ragazza-pasta-bar-107135/menu
308	Hungry Hub Vuosaari	Vuosaari 	Burgers	Lunch, Dinner	0	5.0		/en/place/hungry-hub-vuosaari-109236/menu
309	Ravintola Mayur	Vuosaari 	Nepalese	Lunch, Dinner	0	5.4		/en/place/ravintola-mayur-98156/menu
310	Il Treno	Mellunmäki 	International	Breakfast, Lunch, Dessert, Dinner	0	5.5		/en/place/il-treno-86923/menu
311	Daddy's Bar & Pizza Vuosaari	Vuosaari 	Pizza	Lunch, Dessert, Dinner	0	6.0		/en/place/daddys-bar-pizza-101156/menu
312	Himalayan Herkut	Suutarila 	Asian Fusion	Buffet, Lunch, Dinner	0			/en/place/himalayan-herkut-108468/menu
313	Ravintola Makasiini - Grand Marina	Katajanokka 	Scandinavian	Breakfast, Dessert, Dinner	0	4.5		/en/place/ravintola-makasiini-scandic-grand-marina-63306/about
314	Lie Mi Lunch Kitchen	Ruoholahti 	Vietnamese	Lunch, Brunch	0			/en/place/lie-mi-lunch-kitchen-106571/menu
315	Krung Thep Thai Bistro Kalasatama	Kalasatama 	Thai	Lunch, Dinner	0	5.6		/en/place/krung-thep-thai-bistro-kalasatama-99191/about
316	Ravintola Lia	Kaartinkaupunki 	Georgian	Dinner	0	5.4		/en/place/ravintola-lia-erottaja-91654/menu
317	Miljöö Bistro & Bar	Töölö 	Nordic	Lunch, Dessert, Dinner	0	5.3		/en/place/miljoo-bistro-bar-20682/about
318	Amex Exclusive: Pastis	Kaartinkaupunki 	French		0	5.2		/en/place/amex-exclusive-pastis-102863/about
319	Ravintola Oda	Kaartinkaupunki 	Georgian	Dinner	0	5.5		/en/place/ravintola-oda-103254/menu
320	Trattoria Sogno	Töölö 	Italian	Lunch, Dinner	0	4.9		/en/place/trattoria-sogno-9319/menu
321	m/s Helsinki – Royal Line	Kruununhaka 	Scandinavian	Dessert, Dinner	0	4.8		/en/place/ms-helsinki-royal-line-88240/about
322	Amex Exclusive: Ravintola Muru	City Centre 	French		0	5.3		/en/place/amex-exclusive-ravintola-muru-103071/about
323	Ravintola Wanha Mylly	Herttoniemi 	Gourmet	Lunch, Dessert, Dinner	0	5.1		/en/place/ravintola-wanha-mylly-8832/about
324	Pjazza	City Centre 	Italian	Dessert, Dinner, Cake & Coffee	0	4.6		/en/place/pjazza-50147/menu
325	m/s Natalia – Royal Line	Kruununhaka 	Scandinavian	Buffet, Lunch, Dinner	0	4.5		/en/place/ms-natalia-royal-line-88255/about
326	Ravintola Willihanhi	Malminkartano 	Finnish	Lunch, Dinner	0			/en/place/ravintola-willihanhi-103723/menu
327	Pyöreä Sali - Hilton Kalastajatorppa	Munkkiniemi 	International	Buffet	0	4.8		/en/place/pyorea-sali-hilton-kalastajatorppa-86435/about
328	Ravintola Kokki	Itäkeskus 	Scandinavian	Lunch	0	5.3		/en/place/ravintola-kokki-91465/menu
329	Monkey Rooftop Bar / Scandic Simonkenttä	City Centre 	Drinks	Dessert	0	5.4		/en/place/monkey-rooftop-bar-scandic-simonkentta-93501/about
330	Wave Of Flavors	Vallila 	Portuguese	Lunch, Dessert, Dinner	0	5.1		/en/place/waves-of-flavors-105468/menu
331	Villa Willinge	Laajasalo 	Nordic	Lunch, Dinner	0	5.5		/en/place/villa-willinge-107233/menu
332	Ravintola Kuunari Kathrina	Kruununhaka 	Finnish	Dessert, Dinner	0	5.8		/en/place/ravintola-kuunari-kathrina-100993/menu
333	Ravintola Töölö Juhlasali	Töölö 	International	Buffet, Dessert	0	4.5		/en/place/ravintola-toolo-juhlasali-88616/about
334	Helka	Kamppi 	Eat & Drink		0			/en/place/helka-102845/about
335	Bistro Telakka	Lauttasaari 	International	Lunch, Dessert, Dinner	0	5.1		/en/place/bistro-telakka-92514/menu
336	Royal Caviar Breakfast – Finlandia Caviar	Eteläranta 	Finnish	Breakfast	0			/en/place/royal-caviar-breakfast-finlandia-caviar-107118/menu
337	Black Sea Kitchen	Kaartinkaupunki 	Georgian	Lunch, Dinner	0			/en/place/black-sea-kitchen-109077/about
338	Mad Finn Brewing Co. Taproom Helsinki	Sompasaari 	Pizza	Dinner	0	6.0		/en/place/mad-finn-brewing-co-taproom-helsinki-108006/menu
339	Kahvila Mutteri	Lauttasaari 	Dessert	Cake & Coffee	0			/en/place/kahvila-mutteri-100773/menu
340	Merisali - Hilton Kalastajatorppa	Munkkiniemi 	Scandinavian	Buffet, Dinner	0	5.0		/en/place/merisali-hilton-kalastajatorppa-92005/about
341	m/s King – Royal Line	Vuosaari 	Scandinavian	Buffet, Dinner	0	5.0		/en/place/ms-king-royal-line-102408/menu
