	Name	Location	Cuisine	Meals	Price Level (out of 4)	Rating (out of 6)	Review Count	Page URL
51	Vibami - Vietnamese Kitchen	City Centre 	Vietnamese	Lunch, Dinner	0	5.2		/en/place/vibami-vietnamese-kitchen-94863/menu
52	Mauritz	Munkkiniemi 	European	Lunch, Dinner	0	5.4		/en/place/mauritz-94400/menu
53	Ravintola Carelia	Töölö 	French	Dessert, Dinner	0	5.1		/en/place/ravintola-carelia-9774/about
54	Ristorante Il Trio	Töölö 	Italian	Lunch, Dessert, Dinner	0	5.2		/en/place/ristorante-il-trio-54885/menu
55	The Tart	Kaartinkaupunki 	International	Lunch, Dessert, Dinner	0	5.2		/en/place/the-tart-108248/menu
56	Restaurant BRO	Hakaniemi 	Italian	Breakfast, Dessert, Brunch, Dinner	0	5.1		/en/place/pizzorante-bro-hilton-strand-63298/menu
57	Bistro Le Coin	Hakaniemi 	French	Lunch, Dinner	0	5.1		/en/place/bistro-le-coin-98760/menu
58	Ravintola Santa Fé Helsinki	City Centre 	Mexican	Lunch, Dinner	0	5.1		/en/place/ravintola-santa-fe-30462/menu
59	Treffi Verkkosaari	Kalasatama 	Eat & Drink	Lunch, Dinner	0	5.3		/en/place/treffi-verkkosaari-103754/menu
60	MorriSon's Helsinki	City Centre 	International	Lunch, Dinner	0	5.1		/en/place/morrisons-helsinki-30468/menu
61	Il Siciliano Espa	City Centre 	Italian	Lunch, Dessert, Dinner	0	5.1		/en/place/il-siciliano-espa-86935/menu
62	Viinibaari Apotek / Wine Bar Apotek	Kamppi 	Eat & Drink	Dinner	0	5.4		/en/place/viinibaari-apotek-wine-bar-apotek-107481/menu
63	Marski by Scandic Breakfast	City Centre 	Scandinavian	Breakfast	0	5.1		/en/place/marski-scandic-marski-86434/about
64	Kissakahvila Helkatti	Kamppi 	Eat & Drink	Lunch, Cake & Coffee	0	5.0		/en/place/kissakahvila-helkatti-106475/menu
65	Ravintola Georgian Vibe	Sörnäinen 	Georgian	Lunch, Dessert, Dinner	0	5.1		/en/place/ravintola-georgian-vibe-88735/menu
66	Siipiweikot Kamppi	Kamppi 	International	Lunch, Dinner	0	5.5		/en/place/siipiweikot-kamppi-100506/menu
67	Georgian Supra	Sörnäinen 	Georgian	Lunch, Dinner	0	5.7		/en/place/georgian-supra-107930/menu
68	Pueblo Bar y Taqueria	Kamppi 	Mexican	Dessert, Dinner	0	5.0		/en/place/pueblo-bar-y-taqueria-51880/menu
69	Brokadi Tripla	Pasila 	Chinese	Lunch, Dinner	0	5.2		/en/place/ravintola-brokadi-tripla-62705/menu
70	Capperi - Tripla	Pasila 	Italian	Lunch, Dinner	0	5.2		/en/place/capperi-tripla-59082/menu
71	Ravintola Central	Ullanlinna 	International	Lunch, Dinner	0	5.0		/en/place/ravintola-central-60734/menu
72	Mamma Rosa	Töölö 	International	Lunch, Dinner	0	5.0		/en/place/mamma-rosa-24808/menu
73	Pomo D'Or Hietalahti	Hietalahti 	Italian	Lunch, Dessert, Dinner	0	5.5		/en/place/pomo-dor-hietalahti-106599/menu
74	Meripaviljonki	Hakaniemi 	Seafood	Lunch, Dinner	0	5.0		/en/place/meripaviljonki-30392/about
75	Zaap Isan Thai Streetfood Töölönlahti	City Centre 	Thai	Lunch, Dessert, Dinner	0	5.0		/en/place/zaap-isan-thai-streetfood-toolonlahti-98510/about
76	Alice Italian	Vallila 	Italian	Breakfast, Lunch, Dinner	0	5.0		/en/place/alice-italian-48550/about
77	Tinku Café Bar	Töölö 	Latin American	Lunch, Dinner, Cake & Coffee	0	5.0		/en/place/tinku-cafe-bar-103705/menu
78	Brasserie Grand	City Centre 	European	Dessert, Dinner	0	4.8		/en/place/scandic-grand-central-helsinki-87878/menu
79	Victors Krog	Eteläranta 	Finnish	Lunch, Dinner	0	5.1		/en/place/victors-krog-107015/menu
80	Version	Kaartinkaupunki 	Eat & Drink	Breakfast, Lunch, Dinner	0	4.9		/en/place/version-89835/menu
81	Vinolito Wine & Tapas	Kallio 	Eat & Drink	Tapas, Dessert	0	5.1		/en/place/vinolito-wine-tapas-98939/about
82	Block By Dylan	City Centre 	International	Breakfast, Buffet, Lunch, Brunch	0	4.9		/en/place/block-by-dylan-16710/menu
83	Lie Mi Bulevardi	City Centre 	Vietnamese	Lunch, Dinner	0	4.9		/en/place/lie-mi-bulevardi-64812/menu
84	Kuusi Palaa	City Centre 	Nordic	Dessert, Dinner	0	4.8		/en/place/ravintola-kuusi-palaa-scandic-marski-63294/menu
85	Cafe Bar No 9	Punavuori 	International	Lunch, Dinner	0	4.9		/en/place/cafe-bar-no-9-94429/menu
86	Panimoravintola Viisi Penniä	Töölö 	Scandinavian	Lunch, Dessert, Dinner	0	5.0		/en/place/panimoravintola-viisi-pennia-27826/menu
87	Viikinkiravintola Harald - Helsinki	City Centre 	European	Lunch, Dinner	0	4.9		/en/place/viikinkiravintola-harald-helsinki-49972/about
88	Relove Stockmann Helsinki	City Centre 	European	Breakfast, Lunch, Dessert, Brunch	0	4.9		/en/place/relove-stockmann-helsinki-95230/menu
89	Il Centro - Scandic Helsinki Hub	City Centre 	Italian	Lunch, Dinner	0	4.7		/en/place/il-centro-scandic-helsinki-hub-93643/menu
90	Ateneum Bistro	City Centre 	International	Lunch, Cake & Coffee	0	4.8		/en/place/ravintola-ateneum-28610/menu
91	Kahvila Rakastan	City Centre 	Cake & Coffee	Breakfast, Lunch, Brunch, Cake & Coffee	0	5.0		/en/place/kahvila-rakastan-99306/menu
92	Hesperia Restaurant & Bar	Töölö 	Scandinavian	Dessert, Dinner	0	4.8		/en/place/hesperia-restaurant-bar-63302/menu
93	Más	Kamppi 	European	Dessert, Dinner, Cake & Coffee	0	4.7		/en/place/restaurant-mas-scandic-simonkentta-63297/menu
94	Classic Pizza Forum	City Centre 	Pizza	Lunch, Dessert, Dinner	0	5.0		/en/place/classic-pizza-forum-53986/menu
95	Ravintola Töölö	Töölö 	International	Lunch, Dessert, Dinner	0	4.8		/en/place/ravintola-toolo-60842/about
96	Ravintola Mullikka	Meilahti 	Burgers	Dinner	0	5.4		/en/place/ravintola-mullikka-98440/menu
97	Ravintola Sunn	City Centre 	Scandinavian	Buffet, Lunch, Dessert, Brunch	0	4.8		/en/place/ravintola-sunn-41043/about
98	Southpark	City Centre 	International	Lunch, Brunch, Dinner	0	4.8		/en/place/southpark-18882/about
99	Da Spizzico	Jätkäsaari 	Italian	Lunch, Dinner	0	5.4		/en/place/da-spizzico-100366/menu
100	Meritorppa	Munkkiniemi 	Scandinavian	Lunch, Dessert, Brunch, Dinner	0	5.0		/en/place/meritorppa-hilton-kalastajatorppa-63289/about
101	Skiffer Viiskulma	City Centre 	Pizza	Lunch, Dinner	0	5.2		/en/place/skiffer-viiskulma-14682/menu
102	Bistro O Mat Hakaniemi	Hakaniemi 	European	Lunch, Dinner	0	4.8		/en/place/bistro-o-mat-hakaniemi-107887/menu
103	Makaronitehdas Forum	City Centre 	Pasta	Lunch, Dessert, Dinner	0	4.7		/en/place/makaronitehdas-forum-98497/menu
104	Ekberg	City Centre 	International	Breakfast, Lunch, Dessert, Brunch	0	4.7		/en/place/ekberg-cafe-53446/menu
105	Ginza Sushi Bar Kluuvi	City Centre 	Japanese	Lunch, Dinner	0	4.6		/en/place/ginza-sushi-bar-kluuvi-105182/menu
106	Factory Kamppi	Kamppi 	European	Breakfast, Lunch, Dinner	0	4.6		/en/place/factory-kamppi-56210/menu
107	Tandoori Flames	Vallila 	Indian	Lunch, Dinner, Sunday lunch	0	5.7		/en/place/tandoori-flames-92432/menu
108	B5 BLACK	Töölö 	Scandinavian	Lunch, Dinner	0	4.7		/en/place/b5-black-95495/menu
109	Ravintola Piilo	Hietalahti 	Italian	Breakfast, Lunch, Brunch, Dinner	0	4.7		/en/place/ravintola-piilo-91693/about
110	The Tower - Wine & Craft Beer	Pasila 	Scandinavian	Lunch, Dinner	0	4.7		/en/place/the-tower-wine-craft-beer-85892/menu
111	Moko Market Café & Store Punavuori / Brunssi	Punavuori 	Eat & Drink	Breakfast, Brunch	0	4.9		/en/place/moko-market-cafe-store-punavuori-90255/menu
112	Bröd Punavuori	Punavuori 	Scandinavian	Breakfast, Lunch, Dessert, Dinner	0	4.9		/en/place/brod-punavuori-63308/menu
113	Relove Töölö	Töölö 	European	Breakfast, Lunch, Brunch, Cake & Coffee	0	5.5		/en/place/relove-toolo-95227/about
114	Juttutupa	Kallio 	Eat & Drink	Lunch, Dessert, Dinner	0	4.5		/en/place/juttutupa-106867/about
115	Draft Sportsbar	Pasila 	International	Lunch, Dinner, Sunday lunch	0	5.1		/en/place/draft-sportsbar-95510/menu
116	Capperi - Oulunkylä	Oulunkylä 	Pizza	Lunch, Dinner	0	5.2		/en/place/capperi-37434/menu
117	Pancho Villa Tripla, Helsinki	Pasila 	Mexican	Dinner	0	4.6		/en/place/pancho-villa-tripla-helsinki-89231/menu
118	Ravintola Sansar	Kamppi 	Nepalese	Lunch, Dinner, Sunday lunch	0	5.2		/en/place/ravintola-sansar-87104/menu
119	Famu	Töölö 	European	Breakfast, Lunch, Dessert, Dinner	0	4.3		/en/place/ravintola-famu-scandic-park-63307/about
120	Kiasma Café	City Centre 	Eat & Drink	Dessert, Dinner, Cake & Coffee	0	5.0		/en/place/kiasma-cafe-100123/menu
121	Treffi Herttoniemi	Herttoniemi 	International	Lunch, Brunch, Dinner	0	4.9		/en/place/treffi-herttoniemi-14994/menu
122	Relove Freda	Punavuori 	European	Lunch, Dessert, Brunch	0	5.4		/en/place/relove-freda-95229/menu
123	Dylan Böle	Pasila 	International	Buffet, Lunch	0	5.0		/en/place/dylan-bole-48265/menu
124	Restaurant Maharaja Töölö	Töölö 	Indian	Lunch, Dinner	0	5.1		/en/place/restaurant-maharaja-toolo-97575/menu
125	Bellmanni - Pasila	Pasila 	Scandinavian	Dessert, Dinner	0	4.7		/en/place/ravintola-scandic-pasila-63655/menu
126	Bierhaus Kamppi	Kamppi 	Scandinavian	Lunch, Dinner	0	5.3		/en/place/bierhaus-kamppi-85893/about
127	La Torrefazione Aleksanterinkatu	City Centre 	European	Breakfast, Lunch, Brunch, Cake & Coffee	0	5.0		/en/place/la-torrefazione-aleksanterinkatu-95362/menu
128	Nepalilainen Ravintola Mountain	Töölö 	Nepalese	Lunch, Dinner	0	5.3		/en/place/nepalilainen-ravintola-mountain-103213/menu
